network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T12:00:00Z,4.87 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T13:00:00Z,4.89 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T14:00:00Z,4.88 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T15:00:00Z,4.94 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T16:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T17:00:00Z,5.04 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T18:00:00Z,5.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T19:00:00Z,4.96 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T20:00:00Z,4.89 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T21:00:00Z,4.92 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-07T22:00:00Z,4.95 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T05:00:00Z,4.9 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T06:00:00Z,4.92 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T07:00:00Z,4.89 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T08:00:00Z,4.93 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T09:00:00Z,4.94 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T10:00:00Z,4.96 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T11:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T12:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-08T13:00:00Z,4.96 
