network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T17:15:00Z,5.5,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T17:30:00Z,5.76,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T17:45:00Z,5.89,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T18:00:00Z,6.11,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T18:00:00Z,1.95,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T18:00:00Z,2.24,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T18:00:00Z,13.14,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T18:00:00Z,2.03,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T18:15:00Z,6.39,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T18:30:00Z,6.61,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T18:45:00Z,6.86,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T19:00:00Z,7.19,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T19:00:00Z,2.21,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T19:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T19:00:00Z,13.95,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T19:00:00Z,2.11,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T19:15:00Z,7.39,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T19:30:00Z,7.79,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T19:45:00Z,7.8,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T20:00:00Z,7.95,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T20:00:00Z,2.4,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T20:00:00Z,2.89,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T20:00:00Z,15.09,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T20:00:00Z,2.21,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T20:15:00Z,8.14,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T20:30:00Z,8.23,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T20:45:00Z,8.47,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T21:00:00Z,8.4,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T21:00:00Z,2.54,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T21:00:00Z,3.51,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T21:00:00Z,17.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T21:00:00Z,2.06,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T21:15:00Z,8.74,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T21:30:00Z,8.82,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T21:45:00Z,8.97,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T22:00:00Z,9.17,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T22:00:00Z,4.24,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T22:00:00Z,3.04,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T22:00:00Z,16.39,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T22:00:00Z,2.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T22:15:00Z,9.26,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T22:30:00Z,9.03,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T22:45:00Z,9.35,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T23:00:00Z,9.2,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T23:15:00Z,9.56,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T23:30:00Z,10.04,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T23:45:00Z,10.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T00:00:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T00:15:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T00:30:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T00:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T01:00:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T01:15:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T01:30:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T01:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T02:00:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T02:15:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T02:30:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T02:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T03:00:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T03:15:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T03:30:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T03:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-02T04:00:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T04:00:00Z,2.69,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T04:00:00Z,3.32,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T04:00:00Z,16.71,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T04:00:00Z,2.63,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T05:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T05:00:00Z,3.2,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T05:00:00Z,17.63,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T05:00:00Z,2.27,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T06:00:00Z,2.25,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T06:00:00Z,2.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T06:00:00Z,16.74,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T06:00:00Z,2.34,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T07:00:00Z,1.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T07:00:00Z,2.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T07:00:00Z,13.16,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T07:00:00Z,2.04,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T08:00:00Z,2.01,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T08:00:00Z,2.8,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T08:00:00Z,15.29,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T08:00:00Z,2.05,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T09:00:00Z,1.93,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T09:00:00Z,2.82,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T09:00:00Z,13.82,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T09:00:00Z,2.05,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T10:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T10:00:00Z,2.7,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T10:00:00Z,13.49,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T10:00:00Z,2.34,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T11:00:00Z,1.8,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T11:00:00Z,2.17,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T11:00:00Z,12.2,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T11:00:00Z,2.74,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T12:00:00Z,1.7,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T12:00:00Z,2.03,1111122 
