network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T10:45:00Z,77.1 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T10:45:00Z,81.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T10:45:00Z,77.3 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T10:50:00Z,74.37 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T10:54:00Z,85.15 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T10:54:00Z,72.44 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T10:57:00Z,80.4 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T10:59:00Z,0.339 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T10:59:00Z,79.74 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T11:00:00Z,77.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T11:00:00Z,79.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T11:00:00Z,76.7 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T11:00:00Z,79.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T11:00:00Z,82.7 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T11:15:00Z,77.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T11:15:00Z,78.4 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T11:15:00Z,78.4 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T11:27:00Z,81.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T11:30:00Z,77.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T11:30:00Z,76.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T11:30:00Z,79.1 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T11:30:00Z,76.6 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T11:31:00Z,88.2 
