network,platform,latitude,longitude,date,relative_humidity,qcFlag 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T08:35:00,87.65,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T08:35:00,82.77,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T08:35:00Z,76.78,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T08:45:00Z,69.3,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T08:45:00Z,90.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T08:45:00Z,65.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-11-01T08:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T08:45:00Z,82.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T08:54:00,81.35,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T08:54:00,86.94,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T08:54:00,73.01,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T08:56:00Z,78.48,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T08:57:00Z,72.37,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T09:00:00Z,68.4,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T09:00:00Z,69.4,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T09:00:00Z,41.8,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T09:00:00Z,63.5,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T09:15:00Z,68.2,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T09:15:00Z,97.7,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T09:30:00Z,68.0,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T09:30:00Z,81.0,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T09:34:00Z,89.0,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T09:35:00,84.9,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T09:35:00,81.88,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T09:35:00Z,76.89,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T09:45:00Z,69.2,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T09:45:00Z,91.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T09:45:00Z,60.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-11-01T09:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T09:45:00Z,84.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T09:54:00,75.85,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T09:54:00,83.31,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T09:54:00,75.63,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T09:56:00Z,82.0,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T09:57:00Z,75.33,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T10:00:00Z,66.3,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T10:00:00Z,75.8,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T10:00:00Z,40.5,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T10:00:00Z,65.4,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T10:15:00Z,67.3,11111222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-11-01T10:15:00Z,94.2,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T10:30:00Z,69.0,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-11-01T10:30:00Z,62.5,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T10:30:00Z,73.9,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T10:34:00Z,91.4,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T10:35:00,84.29,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T10:35:00,81.33,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T10:35:00Z,75.82,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T10:45:00Z,69.8,11111222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T10:45:00Z,93.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T10:45:00Z,63.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-11-01T10:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T10:45:00Z,86.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T10:54:00,77.93,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T10:54:00,80.81,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T10:54:00,77.09,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T10:56:00Z,84.5,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T10:57:00Z,71.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T11:00:00Z,68.9,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T11:00:00Z,81.6,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T11:00:00Z,40.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T11:15:00Z,70.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T11:15:00Z,1026.0,11144222 
